,run,round,hold_1,hold_2,score_1,score_2
20,7,3,"['pudding', 'tempura', 'maki roll 2', 'wasabi', 'wasabi', 'tempura', 'tempura', 'dumpling', 'pudding', 'tempura', 'egg nigiri']","['maki roll 3', 'sashimi', 'pudding', 'maki roll 1', 'dumpling', 'wasabi', 'maki roll 1', 'sashimi', 'pudding', 'salmon nigiri']",42,34
21,8,1,"['squid nigiri', 'pudding', 'maki roll 1', 'dumpling', 'tempura', 'tempura', 'pudding', 'maki roll 3', 'maki roll 2', 'tempura']","['sashimi', 'sashimi', 'maki roll 3', 'salmon nigiri', 'maki roll 2', 'egg nigiri', 'sashimi', 'wasabi', 'salmon nigiri', 'sashimi']",15,18
22,8,2,"['pudding', 'pudding', 'squid nigiri', 'tempura', 'sashimi', 'maki roll 2', 'maki roll 3', 'salmon nigiri', 'maki roll 3', 'salmon nigiri', 'maki roll 2', 'maki roll 2']","['maki roll 1', 'maki roll 3', 'dumpling', 'pudding', 'egg nigiri', 'squid nigiri', 'sashimi', 'maki roll 2', 'wasabi', 'tempura']",28,26
23,8,3,"['pudding', 'pudding', 'sashimi', 'wasabi', 'maki roll 1', 'wasabi', 'sashimi', 'chopsticks', 'maki roll 3', 'dumpling', 'tempura', 'wasabi']","['pudding', 'salmon nigiri', 'pudding', 'maki roll 2', 'tempura', 'sashimi', 'pudding', 'dumpling', 'egg nigiri', 'dumpling', 'pudding']",29,41
24,9,1,"['sashimi', 'salmon nigiri', 'maki roll 1', 'maki roll 3', 'egg nigiri', 'sashimi', 'sashimi', 'maki roll 3', 'maki roll 1', 'pudding']","['maki roll 3', 'maki roll 2', 'maki roll 3', 'sashimi', 'maki roll 1', 'maki roll 1', 'sashimi', 'tempura', 'sashimi', 'maki roll 3']",16,13
25,9,2,"['pudding', 'maki roll 2', 'tempura', 'egg nigiri', 'pudding', 'dumpling', 'dumpling', 'salmon nigiri', 'dumpling', 'maki roll 2', 'maki roll 1']","['salmon nigiri', 'salmon nigiri', 'sashimi', 'maki roll 2', 'dumpling', 'chopsticks', 'salmon nigiri', 'maki roll 3', 'squid nigiri', 'sashimi']",28,26
26,9,3,"['pudding', 'pudding', 'pudding', 'maki roll 2', 'chopsticks', 'dumpling', 'chopsticks', 'maki roll 1', 'dumpling', 'maki roll 2', 'dumpling', 'chopsticks']","['squid nigiri', 'sashimi', 'maki roll 2', 'maki roll 2', 'salmon nigiri', 'dumpling', 'dumpling', 'tempura', 'salmon nigiri', 'maki roll 2']",43,33
27,10,1,"['pudding', 'wasabi', 'salmon nigiri', 'tempura', 'wasabi', 'maki roll 2', 'squid nigiri', 'maki roll 1', 'dumpling', 'dumpling']","['egg nigiri', 'maki roll 2', 'squid nigiri', 'sashimi', 'maki roll 2', 'sashimi', 'maki roll 2', 'maki roll 2', 'tempura', 'wasabi']",11,7
28,10,2,"['pudding', 'dumpling', 'maki roll 2', 'squid nigiri', 'maki roll 1', 'dumpling', 'tempura', 'salmon nigiri', 'tempura', 'sashimi', 'maki roll 2']","['tempura', 'tempura', 'salmon nigiri', 'egg nigiri', 'sashimi', 'dumpling', 'tempura', 'sashimi', 'chopsticks', 'dumpling']",30,21
29,10,3,"['pudding', 'sashimi', 'sashimi', 'maki roll 3', 'dumpling', 'sashimi', 'salmon nigiri', 'maki roll 1', 'maki roll 1', 'tempura', 'dumpling']","['dumpling', 'dumpling', 'sashimi', 'dumpling', 'dumpling', 'sashimi', 'dumpling', 'maki roll 3', 'maki roll 3', 'chopsticks']",54,33
30,11,1,"['maki roll 3', 'dumpling', 'dumpling', 'sashimi', 'squid nigiri', 'dumpling', 'salmon nigiri', 'dumpling', 'tempura', 'salmon nigiri']","['wasabi', 'salmon nigiri', 'dumpling', 'tempura', 'tempura', 'pudding', 'maki roll 3', 'maki roll 3', 'maki roll 1', 'maki roll 3']",20,11
31,11,2,"['tempura', 'salmon nigiri', 'egg nigiri', 'maki roll 3', 'salmon nigiri', 'sashimi', 'wasabi', 'dumpling', 'egg nigiri', 'dumpling']","['pudding', 'sashimi', 'pudding', 'maki roll 2', 'maki roll 2', 'maki roll 3', 'maki roll 1', 'maki roll 2', 'sashimi', 'wasabi', 'pudding']",32,14
32,11,3,"['tempura', 'maki roll 2', 'sashimi', 'tempura', 'tempura', 'tempura', 'squid nigiri', 'sashimi', 'salmon nigiri', 'chopsticks']","['pudding', 'pudding', 'pudding', 'maki roll 2', 'maki roll 1', 'maki roll 2', 'dumpling', 'maki roll 2', 'chopsticks', 'tempura', 'pudding', 'maki roll 2', 'sashimi']",44,24
33,12,1,"['sashimi', 'sashimi', 'maki roll 2', 'tempura', 'chopsticks', 'maki roll 3', 'tempura', 'dumpling', 'dumpling', 'maki roll 2']","['dumpling', 'tempura', 'wasabi', 'tempura', 'egg nigiri', 'sashimi', 'wasabi', 'dumpling', 'wasabi', 'maki roll 2']",14,12
34,12,2,"['pudding', 'dumpling', 'maki roll 2', 'maki roll 1', 'squid nigiri', 'salmon nigiri', 'tempura', 'dumpling', 'chopsticks', 'sashimi']","['dumpling', 'salmon nigiri', 'salmon nigiri', 'maki roll 2', 'maki roll 2', 'tempura', 'sashimi', 'sashimi', 'pudding', 'maki roll 3']",25,20
35,12,3,"['pudding', 'salmon nigiri', 'pudding', 'maki roll 3', 'tempura', 'sashimi', 'dumpling', 'sashimi', 'egg nigiri', 'maki roll 3', 'maki roll 2']","['pudding', 'tempura', 'maki roll 1', 'dumpling', 'maki roll 2', 'squid nigiri', 'chopsticks', 'sashimi', 'maki roll 2', 'dumpling', 'chopsticks']",41,23
36,13,1,"['squid nigiri', 'maki roll 2', 'squid nigiri', 'salmon nigiri', 'sashimi', 'tempura', 'egg nigiri', 'egg nigiri', 'maki roll 3', 'wasabi']","['sashimi', 'wasabi', 'sashimi', 'dumpling', 'sashimi', 'dumpling', 'sashimi', 'tempura', 'maki roll 3', 'tempura']",16,21
37,13,2,"['maki roll 1', 'maki roll 1', 'pudding', 'tempura', 'sashimi', 'salmon nigiri', 'pudding', 'dumpling', 'tempura', 'dumpling']","['dumpling', 'dumpling', 'squid nigiri', 'maki roll 1', 'maki roll 2', 'pudding', 'dumpling', 'maki roll 1', 'chopsticks', 'tempura']",29,33
38,13,3,"['pudding', 'pudding', 'chopsticks', 'maki roll 2', 'tempura', 'pudding', 'sashimi', 'wasabi', 'sashimi', 'maki roll 1', 'squid nigiri', 'wasabi']","['pudding', 'maki roll 2', 'salmon nigiri', 'maki roll 2', 'maki roll 2', 'dumpling', 'sashimi', 'maki roll 3', 'sashimi', 'pudding', 'tempura']",41,33
39,14,1,"['maki roll 1', 'maki roll 1', 'wasabi', 'maki roll 2', 'wasabi', 'tempura', 'sashimi', 'pudding', 'wasabi', 'dumpling']","['tempura', 'tempura', 'maki roll 2', 'pudding', 'salmon nigiri', 'maki roll 1', 'maki roll 1', 'sashimi', 'maki roll 1', 'pudding']",4,10
40,14,2,"['pudding', 'sashimi', 'squid nigiri', 'dumpling', 'pudding', 'maki roll 2', 'maki roll 2', 'maki roll 2', 'squid nigiri', 'pudding', 'egg nigiri']","['pudding', 'pudding', 'dumpling', 'egg nigiri', 'sashimi', 'sashimi', 'dumpling', 'pudding', 'maki roll 3', 'squid nigiri', 'pudding', 'egg nigiri']",18,21
41,14,3,"['pudding', 'pudding', 'pudding', 'dumpling', 'dumpling', 'chopsticks', 'maki roll 3', 'wasabi', 'sashimi', 'dumpling', 'dumpling', 'maki roll 2', 'squid nigiri']","['pudding', 'pudding', 'pudding', 'pudding', 'salmon nigiri', 'dumpling', 'sashimi', 'dumpling', 'sashimi', 'chopsticks', 'tempura', 'sashimi', 'sashimi', 'sashimi']",31,45
42,15,1,"['sashimi', 'dumpling', 'dumpling', 'salmon nigiri', 'maki roll 2', 'salmon nigiri', 'pudding', 'maki roll 3', 'egg nigiri', 'tempura']","['maki roll 3', 'dumpling', 'dumpling', 'maki roll 1', 'tempura', 'dumpling', 'dumpling', 'dumpling', 'dumpling', 'maki roll 1']",11,18
43,15,2,"['pudding', 'sashimi', 'maki roll 2', 'tempura', 'tempura', 'egg nigiri', 'maki roll 2', 'tempura', 'tempura', 'tempura', 'tempura']","['sashimi', 'maki roll 1', 'salmon nigiri', 'squid nigiri', 'salmon nigiri', 'sashimi', 'tempura', 'sashimi', 'tempura', 'maki roll 2']",33,43
44,15,3,"['pudding', 'salmon nigiri', 'maki roll 3', 'pudding', 'pudding', 'maki roll 2', 'maki roll 3', 'wasabi', 'maki roll 1', 'salmon nigiri', 'maki roll 3']","['maki roll 2', 'salmon nigiri', 'dumpling', 'sashimi', 'sashimi', 'salmon nigiri', 'tempura', 'egg nigiri', 'maki roll 3', 'dumpling']",49,48
45,16,1,"['tempura', 'egg nigiri', 'wasabi', 'squid nigiri', 'egg nigiri', 'dumpling', 'sashimi', 'pudding', 'sashimi', 'maki roll 1']","['sashimi', 'chopsticks', 'maki roll 3', 'maki roll 2', 'tempura', 'maki roll 2', 'salmon nigiri', 'maki roll 1', 'sashimi', 'maki roll 3']",9,5
46,16,2,"['pudding', 'salmon nigiri', 'sashimi', 'maki roll 3', 'maki roll 2', 'wasabi', 'chopsticks', 'dumpling', 'salmon nigiri', 'dumpling', 'sashimi']","['sashimi', 'wasabi', 'maki roll 2', 'dumpling', 'maki roll 1', 'dumpling', 'tempura', 'egg nigiri', 'egg nigiri', 'maki roll 2']",19,13
47,16,3,"['pudding', 'maki roll 2', 'sashimi', 'pudding', 'tempura', 'sashimi', 'pudding', 'maki roll 2', 'dumpling', 'tempura', 'tempura']","['maki roll 3', 'squid nigiri', 'salmon nigiri', 'maki roll 2', 'maki roll 1', 'dumpling', 'maki roll 1', 'tempura', 'maki roll 1', 'tempura']",34,21
48,17,1,"['tempura', 'sashimi', 'maki roll 2', 'pudding', 'maki roll 2', 'maki roll 2', 'maki roll 1', 'pudding', 'dumpling', 'squid nigiri']","['maki roll 2', 'sashimi', 'squid nigiri', 'dumpling', 'sashimi', 'pudding', 'squid nigiri', 'maki roll 3', 'maki roll 2', 'dumpling']",7,12
49,17,2,"['pudding', 'pudding', 'dumpling', 'maki roll 2', 'maki roll 2', 'maki roll 2', 'maki roll 3', 'sashimi', 'dumpling', 'egg nigiri', 'dumpling', 'maki roll 2']","['pudding', 'wasabi', 'maki roll 1', 'tempura', 'salmon nigiri', 'egg nigiri', 'sashimi', 'egg nigiri', 'salmon nigiri', 'maki roll 1', 'salmon nigiri']",20,23
50,17,3,"['pudding', 'pudding', 'tempura', 'wasabi', 'tempura', 'salmon nigiri', 'sashimi', 'tempura', 'maki roll 3', 'salmon nigiri', 'pudding', 'tempura']","['pudding', 'pudding', 'salmon nigiri', 'maki roll 2', 'wasabi', 'salmon nigiri', 'sashimi', 'tempura', 'chopsticks', 'pudding', 'tempura']",43,38
51,18,1,"['egg nigiri', 'sashimi', 'wasabi', 'sashimi', 'maki roll 1', 'maki roll 3', 'tempura', 'maki roll 2', 'maki roll 1', 'salmon nigiri']","['tempura', 'tempura', 'maki roll 2', 'tempura', 'sashimi', 'dumpling', 'maki roll 3', 'maki roll 1', 'maki roll 3', 'wasabi']",6,9
52,18,2,"['dumpling', 'maki roll 2', 'maki roll 3', 'tempura', 'dumpling', 'sashimi', 'pudding', 'tempura', 'squid nigiri', 'squid nigiri']","['tempura', 'squid nigiri', 'maki roll 2', 'pudding', 'sashimi', 'dumpling', 'tempura', 'tempura', 'tempura', 'dumpling']",26,28
53,18,3,"['pudding', 'maki roll 3', 'tempura', 'tempura', 'maki roll 1', 'dumpling', 'sashimi', 'sashimi', 'salmon nigiri', 'salmon nigiri', 'maki roll 2']","['pudding', 'chopsticks', 'sashimi', 'egg nigiri', 'maki roll 2', 'maki roll 3', 'squid nigiri', 'maki roll 1', 'maki roll 1', 'pudding', 'salmon nigiri']",33,43
54,19,1,"['pudding', 'dumpling', 'maki roll 1', 'sashimi', 'squid nigiri', 'maki roll 1', 'dumpling', 'dumpling', 'egg nigiri', 'egg nigiri']","['tempura', 'salmon nigiri', 'pudding', 'maki roll 2', 'sashimi', 'pudding', 'tempura', 'dumpling', 'chopsticks', 'pudding']",14,11
55,19,2,"['pudding', 'maki roll 2', 'salmon nigiri', 'maki roll 2', 'dumpling', 'maki roll 2', 'tempura', 'maki roll 2', 'sashimi', 'chopsticks', 'squid nigiri']","['pudding', 'pudding', 'pudding', 'dumpling', 'dumpling', 'pudding', 'salmon nigiri', 'maki roll 3', 'tempura', 'maki roll 3', 'salmon nigiri', 'maki roll 3', 'maki roll 2']",23,21
56,19,3,"['pudding', 'maki roll 2', 'maki roll 3', 'maki roll 1', 'salmon nigiri', 'maki roll 1', 'chopsticks', 'sashimi', 'dumpling', 'wasabi', 'wasabi']","['pudding', 'pudding', 'pudding', 'pudding', 'sashimi', 'tempura', 'pudding', 'tempura', 'sashimi', 'maki roll 2', 'salmon nigiri', 'pudding', 'sashimi', 'pudding']",26,47
57,20,1,"['squid nigiri', 'squid nigiri', 'dumpling', 'maki roll 3', 'sashimi', 'dumpling', 'pudding', 'maki roll 3', 'tempura', 'maki roll 2']","['egg nigiri', 'dumpling', 'maki roll 3', 'maki roll 3', 'pudding', 'maki roll 2', 'salmon nigiri', 'sashimi', 'maki roll 1', 'maki roll 2']",12,7
58,20,2,"['pudding', 'egg nigiri', 'tempura', 'maki roll 1', 'pudding', 'salmon nigiri', 'dumpling', 'maki roll 2', 'tempura', 'tempura', 'dumpling']","['pudding', 'wasabi', 'sashimi', 'salmon nigiri', 'tempura', 'sashimi', 'maki roll 2', 'salmon nigiri', 'dumpling', 'sashimi', 'dumpling']",29,27
59,20,3,"['pudding', 'pudding', 'maki roll 3', 'sashimi', 'chopsticks', 'wasabi', 'tempura', 'dumpling', 'egg nigiri', 'pudding', 'salmon nigiri', 'sashimi']","['pudding', 'pudding', 'chopsticks', 'squid nigiri', 'maki roll 3', 'maki roll 2', 'maki roll 1', 'sashimi', 'maki roll 1', 'tempura', 'dumpling']",42,28
60,21,1,"['salmon nigiri', 'tempura', 'salmon nigiri', 'tempura', 'egg nigiri', 'maki roll 2', 'salmon nigiri', 'salmon nigiri', 'dumpling', 'pudding']","['maki roll 2', 'pudding', 'egg nigiri', 'sashimi', 'maki roll 3', 'tempura', 'maki roll 2', 'pudding', 'maki roll 3', 'pudding']",18,4
61,21,2,"['pudding', 'maki roll 1', 'maki roll 3', 'tempura', 'sashimi', 'sashimi', 'egg nigiri', 'dumpling', 'salmon nigiri', 'dumpling', 'sashimi']","['pudding', 'pudding', 'pudding', 'maki roll 2', 'maki roll 1', 'sashimi', 'egg nigiri', 'squid nigiri', 'maki roll 2', 'pudding', 'tempura', 'dumpling', 'dumpling']",37,14
62,21,3,"['pudding', 'wasabi', 'dumpling', 'salmon nigiri', 'dumpling', 'wasabi', 'squid nigiri', 'maki roll 3', 'maki roll 1', 'tempura', 'maki roll 2']","['pudding', 'pudding', 'pudding', 'pudding', 'sashimi', 'pudding', 'maki roll 3', 'chopsticks', 'dumpling', 'maki roll 3', 'tempura', 'sashimi', 'sashimi', 'salmon nigiri']",42,36
63,22,1,"['maki roll 2', 'maki roll 3', 'maki roll 2', 'pudding', 'sashimi', 'sashimi', 'dumpling', 'dumpling', 'dumpling', 'egg nigiri']","['dumpling', 'salmon nigiri', 'maki roll 3', 'sashimi', 'wasabi', 'salmon nigiri', 'maki roll 1', 'maki roll 2', 'pudding', 'tempura']",13,8
64,22,2,"['pudding', 'pudding', 'pudding', 'maki roll 2', 'dumpling', 'maki roll 2', 'egg nigiri', 'pudding', 'squid nigiri', 'dumpling', 'sashimi']","['pudding', 'sashimi', 'maki roll 3', 'egg nigiri', 'pudding', 'salmon nigiri', 'maki roll 1', 'dumpling', 'egg nigiri', 'tempura', 'maki roll 1']",23,16
65,22,3,"['pudding', 'pudding', 'pudding', 'pudding', 'salmon nigiri', 'chopsticks', 'sashimi', 'sashimi', 'maki roll 3', 'sashimi', 'wasabi', 'salmon nigiri', 'chopsticks', 'sashimi']","['pudding', 'pudding', 'salmon nigiri', 'wasabi', 'maki roll 2', 'tempura', 'tempura', 'maki roll 2', 'dumpling', 'wasabi', 'maki roll 2', 'dumpling']",46,23
66,23,1,"['tempura', 'sashimi', 'sashimi', 'sashimi', 'egg nigiri', 'sashimi', 'maki roll 3', 'sashimi', 'dumpling', 'wasabi']","['maki roll 2', 'sashimi', 'salmon nigiri', 'squid nigiri', 'tempura', 'salmon nigiri', 'sashimi', 'tempura', 'salmon nigiri', 'maki roll 1']",15,17
67,23,2,"['sashimi', 'dumpling', 'maki roll 3', 'pudding', 'egg nigiri', 'maki roll 2', 'maki roll 1', 'dumpling', 'maki roll 1', 'dumpling']","['maki roll 2', 'maki roll 3', 'pudding', 'dumpling', 'chopsticks', 'tempura', 'salmon nigiri', 'tempura', 'maki roll 1', 'maki roll 2']",25,28
68,23,3,"['pudding', 'chopsticks', 'maki roll 2', 'dumpling', 'maki roll 3', 'maki roll 2', 'maki roll 2', 'squid nigiri', 'tempura', 'maki roll 2', 'chopsticks']","['pudding', 'dumpling', 'tempura', 'dumpling', 'pudding', 'maki roll 2', 'wasabi', 'sashimi', 'tempura', 'wasabi', 'salmon nigiri']",29,47
69,24,1,"['chopsticks', 'dumpling', 'dumpling', 'tempura', 'pudding', 'salmon nigiri', 'maki roll 2', 'tempura', 'squid nigiri', 'salmon nigiri']","['maki roll 2', 'egg nigiri', 'maki roll 1', 'maki roll 2', 'maki roll 3', 'maki roll 2', 'sashimi', 'sashimi', 'maki roll 3', 'dumpling']",18,5
70,24,2,"['pudding', 'sashimi', 'maki roll 2', 'maki roll 3', 'maki roll 3', 'maki roll 3', 'salmon nigiri', 'egg nigiri', 'dumpling', 'tempura', 'chopsticks']","['chopsticks', 'tempura', 'squid nigiri', 'tempura', 'sashimi', 'pudding', 'dumpling', 'maki roll 3', 'dumpling', 'maki roll 2']",28,19
71,24,3,"['pudding', 'salmon nigiri', 'pudding', 'tempura', 'tempura', 'dumpling', 'salmon nigiri', 'sashimi', 'sashimi', 'squid nigiri', 'sashimi']","['pudding', 'sashimi', 'dumpling', 'maki roll 3', 'salmon nigiri', 'dumpling', 'squid nigiri', 'wasabi', 'dumpling', 'dumpling', 'wasabi']",60,31
72,25,1,"['sashimi', 'dumpling', 'maki roll 2', 'egg nigiri', 'sashimi', 'wasabi', 'sashimi', 'dumpling', 'dumpling', 'chopsticks']","['salmon nigiri', 'maki roll 3', 'dumpling', 'tempura', 'pudding', 'maki roll 1', 'sashimi', 'salmon nigiri', 'pudding', 'dumpling']",20,10
73,25,2,"['pudding', 'squid nigiri', 'sashimi', 'sashimi', 'sashimi', 'tempura', 'dumpling', 'pudding', 'maki roll 3', 'tempura']","['pudding', 'pudding', 'dumpling', 'maki roll 3', 'tempura', 'tempura', 'tempura', 'pudding', 'dumpling', 'dumpling', 'maki roll 1', 'tempura']",42,29
74,25,3,"['pudding', 'pudding', 'pudding', 'egg nigiri', 'pudding', 'sashimi', 'maki roll 2', 'salmon nigiri', 'wasabi', 'maki roll 2', 'wasabi', 'pudding']","['pudding', 'pudding', 'pudding', 'sashimi', 'maki roll 3', 'tempura', 'chopsticks', 'maki roll 1', 'dumpling', 'sashimi', 'egg nigiri', 'salmon nigiri', 'pudding']",54,30
75,26,1,"['maki roll 3', 'maki roll 2', 'salmon nigiri', 'pudding', 'maki roll 2', 'maki roll 1', 'wasabi', 'maki roll 2', 'tempura', 'pudding']","['tempura', 'dumpling', 'dumpling', 'wasabi', 'pudding', 'wasabi', 'dumpling', 'tempura', 'dumpling', 'sashimi']",8,18
76,26,2,"['pudding', 'pudding', 'maki roll 3', 'salmon nigiri', 'maki roll 2', 'tempura', 'squid nigiri', 'maki roll 2', 'pudding', 'maki roll 1', 'sashimi', 'chopsticks']","['pudding', 'chopsticks', 'maki roll 3', 'dumpling', 'maki roll 3', 'tempura', 'maki roll 1', 'tempura', 'maki roll 3', 'maki roll 2', 'chopsticks']",16,27
77,26,3,"['pudding', 'pudding', 'pudding', 'squid nigiri', 'dumpling', 'sashimi', 'sashimi', 'pudding', 'dumpling', 'pudding', 'maki roll 2', 'squid nigiri', 'wasabi']","['pudding', 'wasabi', 'sashimi', 'egg nigiri', 'sashimi', 'sashimi', 'pudding', 'tempura', 'sashimi', 'sashimi', 'squid nigiri']",37,38
78,27,1,"['squid nigiri', 'sashimi', 'sashimi', 'salmon nigiri', 'sashimi', 'tempura', 'maki roll 2', 'egg nigiri', 'wasabi', 'sashimi']","['pudding', 'chopsticks', 'wasabi', 'salmon nigiri', 'tempura', 'sashimi', 'maki roll 2', 'wasabi', 'maki roll 1', 'maki roll 2']",19,5
